gene,log2FC,pval,-log10p,gene_name
YFL009W,-2.090017586523183,0.44375642476815413,0.35285534611452163,CDC4
YDR505C,-2.2945220111152658,0.44383425727949666,0.3527791798569007,PSP1
YIR016W,0.960791852977209,0.4438841553016054,0.35273035708748324,YIR016W
YBL071C,-1.9466808626439094,0.4440256806728292,0.3525919112998547,YBL071C
YOR074C,-2.16471507849315,0.4441398328555509,0.3524802752082229,CDC21
YDR322C-A,0.8227885364960048,0.44424105150745496,0.3523813115700997,TIM11
YJR033C,-1.2463261761398379,0.44431840487944485,0.3523056967252962,RAV1
YBR046C,1.167356566074956,0.44432252970758657,0.35230166497291787,ZTA1
YCL035C,-1.380200329149419,0.4443245173521063,0.35229972219248606,GRX1
YPR055W,-2.2978678259504495,0.4447032481175608,0.35192969844766636,SEC8
YEL028W,-1.2707855370842023,0.44498666575988166,0.35165300266776,YEL028W
YMR318C,0.4382166112572385,0.44499755264708496,0.3516423775017403,ADH6
YGR153W,1.1937459436581963,0.4452101268584484,0.35143496565645926,YGR153W
YLR061W,-1.3895195261062365,0.4452344983408788,0.35141119236379526,RPL22A
YJL138C,0.4812142450534236,0.4452849829244082,0.3513619510467152,TIF2
YPL268W,-0.24392876514063025,0.4452910783628258,0.3513560060962844,PLC1
YCL061C,-1.6023825297113021,0.44536843231235956,0.3512805689777947,MRC1
YML005W,-0.8970581902899606,0.4454295912361632,0.35122093484645034,TRM12
YNL183C,-2.195635491343634,0.44550572114455755,0.3511467144204677,NPR1
YBL079W,-0.8723698915522313,0.44556850745160737,0.35108551245578085,NUP170
YGR161C,-1.3343665183687303,0.44585143354202816,0.35080983263680543,RTS3
YER060W,1.0797378458275215,0.44594065242022085,0.35072293510268315,FCY21
YGR094W,0.6586627231427331,0.4467135778182676,0.3499708469865606,VAS1
YDR036C,1.2768818748618689,0.4467277825318635,0.3499570373981399,EHD3
YJL010C,-2.280439687487746,0.4468696334592689,0.3498191563469192,NOP9
YNL103W-A,1.2616335266317094,0.4469866646901576,0.34970543332861986,YNL103W-A
YBR133C,1.0850066746501774,0.44700860390736996,0.3496841175984159,HSL7
YHR110W,-0.7368830099799368,0.4471926481784938,0.3495053448393369,ERP5
YBR187W,-0.6150088605679371,0.4473509725935695,0.3493516141124293,GDT1
YNL255C,-1.1296172972891334,0.4474496687561722,0.349255809087273,GIS2
YDR247W,-2.3095079950979365,0.44770651397544126,0.34900658673558793,VHS1
YDR003W,0.8849579215476313,0.44777054231769786,0.34894448094386626,RCR2
YMR280C,2.0436778306241106,0.44779138275007846,0.34892426819356576,CAT8
YJR061W,-1.5695741789865982,0.4478266135585983,0.3488901006225609,YJR061W
YLR165C,-2.131434964013433,0.4478782789412722,0.34883999932064,PUS5
YPR140W,-2.204673689360563,0.44856389077164616,0.34817568989215514,TAZ1
YBL092W,0.273739398523615,0.448733923872913,0.3480110969614698,RPL32
YDR079C-A,1.2492627192668213,0.4489311351557471,0.34782027350806605,TFB5
YBR225W,1.6387008204922338,0.44899063649632553,0.34776271592402547,YBR225W
YJL074C,-1.9151965838009908,0.4490690720832561,0.3476868542806404,SMC3
YOL139C,-0.845340451949718,0.44917821954859316,0.34758131064564246,CDC33
YOL117W,1.1693657497799024,0.44929989757230826,0.34746368041384396,RRI2
YHL011C,0.7011028691686741,0.44973758460059643,0.34704081689597527,PRS3
YER045C,-1.893453795900015,0.4497560389013011,0.34702299664521385,ACA1
YMR290C,-0.8850002422965163,0.44992906287042866,0.34685595296335775,HAS1
YPL224C,-1.5282123636321978,0.4501611338734359,0.34663200394444,MMT2
YFR004W,-2.103640568459025,0.4504920199634628,0.3463128977293777,RPN11
YOL008W,1.5420467478462119,0.4508009384297944,0.34601518855659397,COQ10
YDR528W,0.942541081883573,0.45086411825856965,0.3459543263753526,HLR1
YKR074W,0.9732029576809083,0.45096943366480013,0.3458528932452685,AIM29
YPR171W,-2.1389706982452323,0.4514400156777224,0.34539994765572685,BSP1
YPR101W,-1.9838516635366998,0.4516092780319598,0.345237144345183,SNT309
YML132W,-0.8972229536108141,0.45169485622680283,0.34515485503310483,COS3
YGR230W,1.285082168822278,0.45184080435355656,0.34501455184550556,BNS1
YDL239C,-1.5868849833753396,0.45188888366674007,0.3449683420535605,ADY3
YOR147W,1.0958281444731375,0.45191276783871304,0.3449453884241268,MDM32
YOR294W,-0.9511863203802225,0.45234199528815733,0.34453309061962095,RRS1
YER003C,1.052929084465156,0.45250776549212024,0.3443739634611225,PMI40
YDR377W,-0.8461060691444415,0.4528313447101687,0.3440635191795107,ATP17
YFR017C,-1.2961139834175983,0.45285233561320504,0.3440433880154884,IGD1
YNR029C,1.5110632925088174,0.45309645083489414,0.3438093396942588,YNR029C
YOR344C,-1.3085632175786996,0.4531651020438783,0.34374354226260095,TYE7
YJL174W,0.9663056931066396,0.4535095064382174,0.34341360485440764,KRE9
YJL088W,1.9142006081076013,0.4535869520743837,0.3433394468920419,ARG3
YNL025C,0.714686177610309,0.4538487619548668,0.3430888449203571,SSN8
YBR274W,-2.1997658049585302,0.45385876272911596,0.34307927513944586,CHK1
YLR352W,-2.1270582283423534,0.4540782033733045,0.34286934456873414,YLR352W
YPL213W,-1.806156029407592,0.4541062289978963,0.34284254081900634,LEA1
YPR028W,-0.6422903398505967,0.4544573142120757,0.34250690248105076,YOP1
YOR171C,-1.5411136512201231,0.4545606729625492,0.3424081406615624,LCB4
YDR023W,-0.5919832719286041,0.4546502959502725,0.34232252187675494,SES1
YOR040W,-1.860531899284194,0.45497381457019637,0.3420135978811722,GLO4
YOL082W,0.9838203057789597,0.4551213703308097,0.3418727716154539,ATG19
YOL031C,-2.17480917992293,0.45543778318212425,0.34157094309540637,SIL1
YPL181W,1.5856328761177356,0.45589378402966796,0.34113632922821674,CTI6
YER068W,0.934100876730907,0.4559013022137204,0.3411291672991885,MOT2
YOR332W,-0.4743356931569494,0.456245047587462,0.34080183665516317,VMA4
YJL163C,1.579161154383471,0.4564987075668817,0.3405604476967492,YJL163C
YOR038C,-2.029867089457357,0.45732838572014833,0.3397718417441069,HIR2
YLR254C,-0.9096199379021043,0.45774934675202317,0.33937226680167626,NDL1
YLR335W,0.9108010136468834,0.45796217139699735,0.3391703941185056,NUP2
YJL001W,0.4997066748312766,0.4582923205548456,0.3388574200159539,PRE3
YFR003C,0.680999645717724,0.45858389214709705,0.33858120402058,YPI1
YPR164W,-1.8495711496626228,0.458610133247369,0.33855635352061,MMS1
YDR513W,-1.4281246541182109,0.45880479254843787,0.3383720542265894,GRX2
YNL201C,1.1518591206228932,0.45914152994514845,0.33805342295977503,PSY2
YDR541C,-2.0870709164887584,0.45919266113137536,0.33800506149774906,YDR541C
YJL176C,-2.137212360133069,0.45998952324868336,0.3372520597251655,SWI3
YLR237W,-1.2470785888570584,0.4601791647301905,0.3370730485260222,THI7
YPR033C,-1.3125791213333482,0.4602353254303848,0.3370200500509108,HTS1
YMR090W,0.6551782933542639,0.46023975188942334,0.3370158731062391,YMR090W
YDL160C,-0.947438676774163,0.46048194594264746,0.3367873924621124,DHH1
YGR130C,0.7167562633427533,0.46064399700657954,0.33663458407772795,YGR130C
YPL215W,-2.0572600768329345,0.46079585844250326,0.3364914329347799,CBP3
YOL035C,0.8261100527216636,0.4611206629841006,0.3361854164513548,YOL035C
YGR261C,0.6644824495100633,0.46118538693809097,0.33612446215941777,APL6
YCR035C,-2.0559838673663196,0.46134040655984443,0.3359785059868697,RRP43
YHR209W,1.6738788865923326,0.461393556899801,0.33592847444951646,CRG1
YPL247C,1.2196903431087325,0.4614138128301263,0.3359094086313272,YPL247C
YPL208W,-2.0304006113970394,0.4614944064285508,0.3358335584992532,RKM1
YGR010W,-0.9541427449574192,0.4615204296239287,0.3358090697701111,NMA2
YHR210C,1.4635954682098926,0.46214486313681813,0.33522186989933034,YHR210C
YOR045W,0.4346272046534524,0.46215834694728475,0.33520919885282263,TOM6
YER074W-A,0.8849731663330276,0.4625798979636485,0.33481324401060286,YOS1
YFR035C,-1.076431055064768,0.46319103553263197,0.33423985441098514,YFR035C
YPL047W,-1.8244213025690579,0.4632887472755668,0.33414824815746824,SGF11
YLL039C,-0.6998303626194854,0.46372581147092085,0.3337387301395399,UBI4
YJL142C,-0.6408979161114904,0.46400161569046117,0.33348050719462324,IRC9
YJR100C,-1.9772053856058815,0.4644055104689149,0.3331026357206211,AIM25
YDR253C,-1.663107528184186,0.464571457960791,0.33294747561822174,MET32
YGR134W,-2.0737963561389177,0.46472292230957757,0.3328059055563294,CAF130
YHR010W,0.32136046504352445,0.4648032467743255,0.3327308469446432,RPL27A
YER016W,-1.9963089232036857,0.4648153790500259,0.33271951115544207,BIM1
YBL003C,0.8156113482295729,0.46493036874934923,0.33261208524407937,HTA2
YDR040C,1.0758883644032307,0.4649505370366036,0.33259324632436205,ENA1
YIL024C,-2.037453953263685,0.46554323247771523,0.3320399822343284,YIL024C
YPL176C,1.7832095261635534,0.46554896151662806,0.33203463777971365,TRE1
YGL129C,-1.298403926687623,0.46555545644216423,0.33202857893117554,RSM23
YIL142W,0.6484929059554196,0.46583686436880967,0.3317661462039691,CCT2
YNL180C,0.6775353005216289,0.46584439202008954,0.3317591283158444,RHO5
YIL015W,-0.42339782428465594,0.465986433366262,0.3316267270866899,BAR1
YDR524C,-1.8546822781717307,0.46604077107422026,0.3315760878636289,AGE1
YMR223W,-1.9784946638645267,0.4660924825175401,0.33152790163183954,UBP8
YOR095C,-1.9055403421056833,0.46626328492828606,0.3313687809444312,RKI1
YDR392W,-1.9148143755141063,0.4662698182261453,0.3313626956372193,SPT3
YKL013C,0.602175814830868,0.46641113735723994,0.331231087676482,ARC19
YDR273W,1.1994970495275667,0.4668036802129595,0.3308657286980467,DON1
YER132C,1.1068129026215296,0.4668193566285679,0.33085114426615775,PMD1
YBR110W,-1.5715311860572796,0.46682990122262136,0.3308413344602311,ALG1
YGR043C,-1.2795217397302951,0.4670493774903317,0.33063720243609723,NQM1
YOR299W,-1.2827104377263072,0.46706228212269696,0.33062520299134157,BUD7
YCR032W,1.0243418646295925,0.4672472376030188,0.33045325751962173,BPH1
YPL222W,-1.289399023136493,0.4679613286896557,0.3297900345981232,FMP40
YGL097W,-1.0281754227648099,0.4680901488010214,0.32967049872809295,SRM1
YKL166C,0.9406796516303488,0.4681291447619733,0.32963431974570245,TPK3
YAL067C,-1.8925670403868124,0.4681354465703882,0.32962847344830754,SEO1
YBL090W,-1.0748766771816236,0.46813571009875243,0.32962822897016975,MRP21
YGL196W,1.775057186444164,0.4681549011805721,0.32961042556418274,DSD1
YAL015C,-1.8615163578942768,0.46834923974294773,0.3294301804103514,NTG1
YML032C,-1.4109999046072776,0.4684215416130244,0.32936314095119473,RAD52
