gene,log2FC,pval,-log10p,gene_name
YOL029C,0.39577753534239796,0.6406605668405585,0.19337200635086738,YOL029C
YLR210W,0.750305633904476,0.6409759406274422,0.19315827164941823,CLB4
YDR364C,0.4829619216703108,0.6410928245505567,0.1930790839422512,CDC40
YGL097W,-0.258601540255111,0.6411555497336983,0.19303659420082075,SRM1
YCR024C,0.5046080338331163,0.6412191642442447,0.19299350627867,SLM5
YLR282C,0.2206393772110949,0.6422999437785948,0.19226211600029613,YLR282C
YPR083W,0.623268705855512,0.6424062376975592,0.19219025075478383,MDM36
YOR274W,-0.5195856757878041,0.6426954798517741,0.19199475451987094,MOD5
YDR390C,-0.36651314609233493,0.6443744949651007,0.190861657754881,UBA2
YHR129C,0.5356992634874503,0.6444455374492027,0.1908137792953886,ARP1
YER148W-A,0.11904300476001671,0.644563904347886,0.19073401868322276,YER148W-A
YHR044C,-0.44971556389428374,0.6447502743161959,0.190608464414554,DOG1
YOL146W,-0.3483792394570586,0.6453359267815528,0.19021415641982742,PSF3
YNL199C,0.27367031515491985,0.6456208177607632,0.19002247442467668,GCR2
YJL140W,-0.1968218866346184,0.6457884074236,0.18990975528842885,RPB4
YOR076C,-0.4569830130387215,0.6461859033453292,0.18964252042254323,SKI7
YPL185W,-0.4651813273525522,0.64641124248156,0.18949109885283108,YPL185W
YDL006W,0.4007311018958684,0.6466969453307222,0.18929919043550972,PTC1
YKL165C-A,0.16709428036933205,0.6468413077792001,0.18920225350321943,YKL165C-A
YAL046C,-0.35558224643451036,0.6477135354593404,0.18861702727236881,BOL3
YHR041C,0.2905017637445553,0.6477691621253099,0.18857973097480019,SRB2
YGL234W,-0.269777988057216,0.6478834848073153,0.18850309051071018,"ADE5,7"
YFL001W,-0.3006083049439434,0.6479710617434351,0.18844438920004536,DEG1
YDL017W,0.7333092054119649,0.6479929753036724,0.18842970215932703,CDC7
YKL052C,-0.38204924417101077,0.6482035944327073,0.18828856503789992,ASK1
YJR146W,-0.3223060356933051,0.6483052567179343,0.1882204569497167,YJR146W
YER092W,0.3833844880531354,0.6485728397875431,0.18804124218381993,IES5
YMR241W,-0.28059947702799265,0.6487204212706162,0.1879424305643809,YHM2
YGR077C,-0.38414482444462983,0.6489178601449663,0.1878102726039798,PEX8
YNL201C,0.6223559855005136,0.6489762782953146,0.18777117745807392,PSY2
YDR411C,0.4312849532111277,0.6490806496926492,0.1877013378061275,DFM1
YIL022W,-0.2836282813663771,0.6497433658104034,0.1872581461580661,TIM44
