gene,class,gene_name
YER005W,background,YND1
YER006W,background,NUG1
YER007W,background,PAC2
YER008C,background,SEC3
YER009W,entropy_specific,NTF2
YER010C,background,YER010C
YER011W,background,TIR1
YER012W,background,PRE1
YER013W,background,PRP22
YER014W,background,HEM14
YER015W,background,FAA2
YER016W,background,BIM1
YER017C,background,AFG3
YER018C,background,SPC25
YER019W,background,ISC1
YER020W,background,GPA2
YER021W,background,RPN3
YER022W,background,SRB4
YER023W,background,PRO3
YER024W,background,YAT2
YER025W,background,GCD11
YER026C,background,CHO1
YER027C,background,GAL83
YER028C,background,MIG3
YER029C,background,SMB1
YER030W,background,CHZ1
YER031C,background,YPT31
YER032W,background,FIR1
YER033C,background,ZRG8
YER034W,background,YER034W
YER035W,background,EDC2
YER036C,background,ARB1
YER037W,background,PHM8
YER038C,background,KRE29
YER039C,background,HVG1
YER040W,background,GLN3
YER041W,background,YEN1
YER042W,background,MXR1
YER043C,background,SAH1
YER044C,background,ERG28
YER045C,background,ACA1
YER046W,background,SPO73
YER047C,background,SAP1
YER048C,background,CAJ1
YER049W,background,TPA1
YER050C,background,RSM18
YER051W,background,JHD1
YER052C,background,HOM3
YER053C,background,PIC2
YER054C,background,GIP2
YER055C,background,HIS1
YER056C,background,FCY2
YER057C,background,HMF1
YER058W,background,PET117
YER059W,background,PCL6
YER060W,background,FCY21
YER061C,background,CEM1
YER062C,background,YER062C
YER063W,background,THO1
YER064C,background,VHR2
YER065C,background,ICL1
YER066W,background,RRT13
YER068W,background,MOT2
YER069W,background,"ARG5,6"
YER070W,background,RNR1
YER071C,background,TDA2
YER072W,background,VTC1
YER073W,background,ALD5
YER074W,background,RPS24A
YER075C,background,PTP3
YER076C,background,YER076C
YER077C,background,MRX1
YER078C,background,ICP55
YER079W,background,YER079W
YER080W,background,AIM9
YER081W,background,SER3
YER082C,background,UTP7
YER083C,background,GET2
YER084W,background,YER084W
YER086W,background,ILV1
YER087W,background,AIM10
YER088C,background,DOT6
YER089C,background,PTC2
YER090W,background,TRP2
YER091C,background,MET6
YER092W,background,IES5
YER093C,background,TSC11
YER094C,background,PUP3
YER095W,background,RAD51
YER096W,background,SHC1
YER097W,background,YER097W
YER098W,background,UBP9
YER099C,background,PRS2
YER100W,background,UBC6
YER101C,background,AST2
YER102W,entropy_specific,RPS8B
YER103W,background,SSA4
YER104W,background,RTT105
YER105C,background,NUP157
YER107C,background,GLE2
YER109C,background,None
YER110C,background,KAP123
YER111C,background,SWI4
YER112W,background,LSM4
YER113C,background,TMN3
YER114C,background,BOI2
YER115C,background,SPR6
YER116C,background,SLX8
YER117W,background,RPL23B
YER118C,background,SHO1
YER119C,background,AVT6
YER120W,background,SCS2
YER121W,background,YER121W
YER122C,background,GLO3
YER123W,background,YCK3
YER124C,background,DSE1
YER125W,background,RSP5
YER126C,background,NSA2
YER127W,background,LCP5
YER128W,background,VFA1
YER129W,background,SAK1
YER130C,background,COM2
